OD (in),Length (in),Rate (lbs/in),Initial Tension (lbs),Sugg. Max. Defl. (in),Sugg. Max. Load (lbs),Wire Dia. (in)
0.734,2,88,12,0.43,50,0.105
0.75,6.5,5.9,6,4.2,31,0.091
1.062,7,3.7,5,7.6,33,0.105
1,7.5,4.4,6,6.6,35,0.105
1.125,7.5,1.3,3,13,20,0.091
0.312,4,2.4,2,2.8,8.1,0.041
0.375,4.5,2.4,2,3.5,10,0.047
0.437,4.5,0.68,0.7,7,5.5,0.041
0.375,4.5,0.26,0.3,14,4,0.031
0.188,5,0.44,0.4,6.9,3.5,0.023
0.312,3,0.41,0.3,7.8,3.5,0.028
0.25,3,0.9,0.5,4.4,4.4,0.028
0.375,1.5,43,6,0.39,23,0.062
0.375,3.5,14,6,1.2,23,0.062
0.437,8.5,0.73,1,9.9,8.4,0.047
0.437,8.5,1.5,2,6.7,12,0.054
0.437,8.5,7.3,8,2.9,29,0.072
0.5,8.5,0.46,0.9,14,7.2,0.047
0.5,8.5,0.94,2,9.3,10,0.054
2,7.5,18,23,5.4,122,0.208
0.453,3.88,2,2,3.8,9.2,0.05
0.375,2.69,4.1,2,2,10,0.047
0.703,2.63,53,15,0.81,58,0.108
0.437,5.88,4.6,4,3.2,19,0.062
0.437,5.81,4.3,4,3.3,18,0.061
1.031,12.8,7.7,16,7.2,72,0.135
0.64,5.81,6,6,3.8,28,0.082
0.437,3,3.1,2,2.6,9.6,0.05
0.312,3.91,2,1,3,7.5,0.04
1.156,9,2.6,0,11,29,0.109
1,8.5,1.9,4,11,25,0.094
2,13.5,8,22,12,116,0.205
1,8.13,4,6,7.4,35,0.105
0.75,7.88,10,12,3.9,51,0.106
0.5,12,1.8,4,8.6,19,0.065
0.5,3.91,4.3,3,3,15,0.061
0.656,5.5,1.6,2,7.2,13,0.064
0.375,7.88,0.99,1,7.4,8.8,0.045
0.625,7.94,2.4,4,6.7,20,0.073
0.75,4.38,12,8,2.5,37,0.096
1.25,7.25,88,71,1.7,222,0.21
0.39,7.88,0.53,0.9,10,6.2,0.041
0.5,9.88,1.8,3,7.6,17,0.063
0.765,2.47,8.4,3,2,20,0.079
0.5,9.75,1.7,3,7.8,16,0.062
0.562,5.44,8.7,7,2.7,31,0.08
0.765,2.5,9.4,4,2,22,0.081
0.64,9.88,1.7,3,9.3,19,0.072
0.5,4.38,4.1,3,3.2,16,0.062
0.75,2.38,43,11,0.89,50,0.105
0.625,11.8,1.5,3,11,19,0.072
0.593,3.75,6.8,4,2.5,21,0.073
0.5,6,3.1,3,4.4,17,0.063
0.718,3.25,67,23,0.83,78,0.12
0.515,4,8.6,5,2.1,23,0.071
0.562,3.75,3.4,2,3.5,14,0.062
0.953,5.75,13,12,3.3,56,0.12
0.375,5.81,1.7,2,4.8,10,0.047
0.281,6,0.89,1,5.1,5.5,0.035
0.312,1.75,2.5,0.8,1.6,4.9,0.035
0.968,5.66,15,13,3.2,59,0.12
0.734,8,7,9,4.6,41,0.098
0.515,3.78,36,15,0.95,49,0.091
0.578,7.75,3.8,5,5.1,24,0.075
0.515,11.8,1.3,3,10,16,0.062
0.953,3.75,24,12,1.9,57,0.121
0.531,4,10,6,2,27,0.075
0.718,3.19,82,26,0.74,87,0.124
0.5,6,2.4,3,5,15,0.06
0.765,1.84,0.17,0.1,10,1.8,0.034
0.75,5.75,9.5,9,3.3,40,0.098
0.75,2.59,38,11,1,50,0.105
0.562,8.5,0.64,1,12,9.2,0.054
0.562,8.5,1.4,2,8.6,14,0.062
0.375,1.41,6.8,1,1,8.3,0.045
0.188,0.63,9.4,0.7,0.43,4.8,0.026
0.188,1.44,48,6,0.31,21,0.042
0.812,3.13,72,20,0.77,76,0.125
0.593,1.81,8.1,2,1.5,14,0.063
1,9.5,12,18,4.7,75,0.135
0.562,8.5,5.5,7,4.3,31,0.08
0.5,16,0.42,2,20,9.9,0.054
0.625,8.5,0.95,2,11,13,0.062
0.188,1.13,4.3,0.7,0.63,3.4,0.026
0.625,8.5,2.1,3,7.3,19,0.072
0.625,8.5,7.7,9,3.8,39,0.091
0.687,8.5,0.71,1,14,11,0.062
0.75,8.5,1.2,2,11,16,0.072
0.75,8.5,2.1,4,8.6,22,0.08
0.812,8.5,0.42,1,21,9.6,0.062
0.812,8.5,0.92,2,14,14,0.072
0.812,8.5,1.6,3,10,20,0.08
0.812,8.5,3.2,5,7.3,29,0.091
0.875,8.5,0.33,0.9,24,8.8,0.062
0.875,8.5,1.3,3,12,18,0.08
0.875,8.5,5.4,8,6.1,41,0.105
0.938,8.5,0.59,1,19,12,0.072
0.938,8.5,1.1,2,14,17,0.08
0.938,8.5,2,4,10,24,0.091
0.938,8.5,4.4,7,7.1,38,0.105
1,8.5,0.86,2,16,16,0.08
1,8.5,1.7,3,12,23,0.091
1,8.5,7.7,11,5.4,52,0.12
1.062,8.5,0.69,2,19,15,0.08
1.062,8.5,1.4,3,13,21,0.091
0.25,5,0.84,0.8,4.4,4.5,0.031
0.375,4,0.47,0.5,7.3,3.9,0.034
0.14,1.5,0.6,0.2,2.3,1.6,0.016
0.14,1.88,0.47,0.2,3,1.6,0.016
0.14,2.5,0.34,0.2,4.1,1.6,0.016
0.156,1.5,1.5,0.3,1.7,2.7,0.02
0.156,1.88,1.1,0.3,2.2,2.7,0.02
0.156,2.5,0.81,0.3,3,2.7,0.02
0.188,1.5,0.17,0.07,5.1,0.94,0.015
0.188,1.88,0.13,0.07,6.7,0.94,0.015
0.188,2.5,0.09,0.07,9.3,0.94,0.015
0.188,1.5,0.23,0.09,4.5,1.1,0.016
0.188,1.88,0.18,0.09,5.9,1.1,0.016
0.188,2.5,0.14,0.09,7.8,1.1,0.016
0.188,1.5,2.6,0.6,1.4,4.2,0.025
0.188,1.88,2,0.6,1.8,4.2,0.025
0.188,2.5,1.5,0.6,2.5,4.2,0.025
0.219,1.5,0.15,0.06,6.1,0.98,0.016
0.219,1.88,0.11,0.06,8,0.98,0.016
0.219,2.5,0.08,0.06,11,0.98,0.016
0.219,1.5,0.49,0.2,3.6,1.9,0.02
0.219,1.88,0.37,0.2,4.7,1.9,0.02
0.219,2.5,0.27,0.2,6.6,1.9,0.02
0.219,1.5,1.1,0.3,2.4,2.9,0.023
0.219,1.88,0.79,0.3,3.4,2.9,0.023
0.219,2.5,0.56,0.3,4.7,2.9,0.023
0.25,1.5,0.07,0.04,9.4,0.71,0.015
0.25,1.88,0.05,0.04,13,0.71,0.015
0.25,2.5,0.04,0.04,17,0.71,0.015
0.25,1.5,0.32,0.1,4.8,1.7,0.02
0.25,1.88,0.25,0.1,6.4,1.7,0.02
0.25,2.5,0.17,0.1,9,1.7,0.02
0.25,1.5,0.7,0.2,3.3,2.5,0.023
0.25,1.88,0.51,0.2,4.5,2.5,0.023
0.25,2.5,0.37,0.2,6.3,2.5,0.023
0.281,1.5,0.07,0.04,10,0.77,0.016
0.281,1.88,0.06,0.04,13,0.77,0.016
0.281,2.5,0.04,0.04,19,0.77,0.016
0.281,1.5,0.74,0.2,3.4,2.8,0.025
0.281,1.88,0.54,0.2,4.7,2.8,0.025
0.281,2.5,0.39,0.2,6.5,2.8,0.025
0.312,1.5,0.17,0.07,7.7,1.4,0.02
0.312,1.88,0.13,0.07,10,1.4,0.02
0.312,2.5,0.09,0.07,15,1.4,0.02
0.312,1.5,0.54,0.2,4.3,2.5,0.025
0.312,1.88,0.4,0.2,5.7,2.5,0.025
0.312,2.5,0.28,0.2,8.1,2.5,0.025
0.312,1.5,0.35,0.1,5.5,2,0.023
0.312,1.88,0.26,0.1,7.4,2,0.023
0.312,2.5,0.18,0.1,10,2,0.023
0.343,1.5,0.4,0.2,5.2,2.3,0.025
0.343,1.88,0.31,0.2,6.8,2.3,0.025
0.343,2.5,0.21,0.2,9.8,2.3,0.025
0.343,1.5,0.81,0.2,3.6,3.2,0.028
0.343,1.88,0.59,0.2,5,3.2,0.028
0.343,2.5,0.4,0.2,7.3,3.2,0.028
0.125,1.5,1.7,0.4,1.3,2.5,0.018
0.125,1.88,1.3,0.4,1.6,2.5,0.018
0.125,2.5,0.96,0.4,2.2,2.5,0.018
0.25,1.5,6.4,1,1.1,8.4,0.035
0.25,1.88,4.7,1,1.5,8.4,0.035
0.25,2.5,3.5,1,2.1,8.4,0.035
0.312,1.5,0.05,0.03,13,0.69,0.016
0.312,1.88,0.04,0.03,17,0.69,0.016
0.312,2.5,0.03,0.03,24,0.69,0.016
0.437,1.5,0.54,0.1,4.4,2.5,0.028
0.437,1.88,0.3,0.1,7.8,2.5,0.028
0.437,2.5,0.18,0.1,13,2.5,0.028
0.437,1.5,6.2,1,1.6,11,0.047
0.437,1.88,4.3,1,2.3,11,0.047
0.437,2.5,3,1,3.4,11,0.047
1.062,3.5,37,15,1.4,69,0.135
0.938,3,7.8,4,2.6,24,0.091
0.625,3.25,110,32,0.56,94,0.12
0.75,2.5,5.6,2,2.4,16,0.072
0.375,6.5,1.6,2,5.3,10,0.047
0.75,4,5.2,4,3.5,22,0.08
0.75,5,36,21,1.5,74,0.12
0.75,6,3,4,6,22,0.08
0.75,2.75,81,21,0.66,74,0.12
0.625,3,3.6,2,3,13,0.062
0.5,1.63,17,3,0.78,16,0.062
0.5,6,12,9,2.2,35,0.08
0.125,1.5,0.07,0.03,6,0.46,0.01
0.125,1.5,0.19,0.06,3.8,0.8,0.012
0.125,1.5,0.65,0.2,2,1.4,0.015
0.094,1,0.29,0.06,2,0.62,0.01
0.094,1,0.75,0.1,1.3,1.1,0.012
0.094,1,2.6,0.3,0.63,1.9,0.015
0.437,9.5,2.8,4,5.3,19,0.062
0.375,6.75,6.8,6,2.5,23,0.062
0.437,7,3.9,4,3.9,19,0.062
0.437,10.3,0.28,0.7,17,5.5,0.041
0.25,5,1.4,1,3.5,6,0.034
0.25,3,2.4,1,2.8,8,0.034
0.938,8.5,8.9,12,5,57,0.12
0.938,8.5,0.27,0.8,28,8.3,0.062
0.562,6,4.6,4,3.8,22,0.072
0.5,2.5,1.9,0.9,3.3,7.2,0.047
0.5,3.5,1.2,0.9,5.1,7.2,0.047
0.375,3,0.23,0.2,12,2.9,0.028
0.375,2,0.39,0.2,7,2.9,0.028
0.625,4,8.9,5,2.4,27,0.08
0.812,6.75,19,17,2.6,66,0.12
0.5,4,19,9,1.4,35,0.08
0.375,5.5,8.9,6,1.9,23,0.062
0.625,5,0.42,0.6,13,5.8,0.047
0.5,2.5,33,9,0.77,35,0.08
0.5,3.5,12,6,1.6,25,0.072
0.375,8,0.14,0.3,27,4,0.031
0.437,2,17,4,0.87,19,0.062
0.5,3,55,16,0.64,51,0.091
0.5,3.5,5.4,3,2.4,16,0.062
0.5,4.5,1.9,2,4.6,10,0.054
0.375,3,3.6,2,2.3,10,0.047
0.687,4.25,26,14,1.5,55,0.105
0.5,5.5,3.3,3,4,16,0.062
0.625,8.5,36,32,1.7,94,0.12
0.625,3.5,0.62,0.6,8.4,5.8,0.047
0.625,4.5,2,2,5.5,13,0.062
0.5,7,5.6,6,3.4,25,0.072
0.188,1.5,0.83,0.2,2.4,2.2,0.02
0.188,1.88,0.6,0.2,3.4,2.2,0.02
0.188,2.5,0.44,0.2,4.7,2.2,0.02
0.188,1.5,0.45,0.1,3.3,1.6,0.018
0.188,1.88,0.34,0.1,4.4,1.6,0.018
0.188,2.5,0.25,0.1,6,1.6,0.018
0.219,1.5,0.28,0.1,4.7,1.4,0.018
0.219,1.88,0.21,0.1,6.3,1.4,0.018
0.219,2.5,0.15,0.1,8.6,1.4,0.018
0.25,1.5,0.19,0.08,6.2,1.2,0.018
0.25,1.88,0.15,0.08,7.8,1.2,0.018
0.25,2.5,0.1,0.08,11,1.2,0.018
0.281,1.5,0.13,0.06,8.1,1.1,0.018
0.281,1.88,0.1,0.06,10,1.1,0.018
0.281,2.5,0.07,0.06,15,1.1,0.018
0.25,1.5,0.12,0.05,7.1,0.87,0.016
0.25,1.88,0.08,0.05,11,0.87,0.016
0.25,2.5,0.06,0.05,15,0.87,0.016
0.156,1.5,0.3,0.1,3.4,1.1,0.015
0.156,1.88,0.23,0.1,4.4,1.1,0.015
0.156,2.5,0.17,0.1,6.1,1.1,0.015
0.125,1.5,0.43,0.1,2.7,1.3,0.014
0.125,1.88,0.35,0.1,3.3,1.3,0.014
0.125,2.5,0.24,0.1,4.7,1.3,0.014
0.14,1.5,0.3,0.1,3.5,1.1,0.014
0.14,1.88,0.23,0.1,4.5,1.1,0.014
0.14,2.5,0.17,0.1,6.2,1.1,0.014
0.156,1.5,0.2,0.08,4.7,1,0.014
0.156,1.88,0.16,0.08,6,1,0.014
0.156,2.5,0.12,0.08,8.2,1,0.014
0.25,2.31,1.7,0.7,2.9,5.4,0.03
0.468,4.5,0.54,0.6,8.5,5.2,0.041
0.343,2.75,0.32,0.2,0,0.22,0.031
0.437,4.5,0.09,0.1,25,2.5,0.028
0.375,4.5,0.15,0.2,18,2.9,0.028
0.406,4.5,0.37,0.4,9,3.7,0.035
0.343,4.5,0.11,0.2,20,2.3,0.025
0.219,3.25,0.65,0.4,4.9,3.6,0.025
0.25,3.25,0.44,0.3,6.4,3.1,0.025
0.281,3.25,0.53,0.4,6.6,3.9,0.028
0.375,2.5,0.81,0.5,4.2,3.9,0.034
0.281,3.38,0.28,0.2,9.2,2.8,0.025
0.312,5,0.48,0.5,9.8,5.2,0.032
0.312,5,0.79,0.8,7.4,6.6,0.035
0.734,2.25,59,12,0.65,50,0.105
0.734,2.44,50,12,0.76,50,0.105
0.734,2.63,44,12,0.87,50,0.105
0.734,2.88,39,12,0.98,50,0.105
0.75,2.75,21,6,1.2,31,0.091
1.25,6,72,48,1.6,165,0.192
1.062,5,22,15,2.4,69,0.135
1.156,9,2.2,4,12,31,0.105
0.312,3.38,1.2,0.8,4.9,6.6,0.035
1.938,8.25,50,54,3.4,221,0.25
0.625,24.5,1.2,5,17,27,0.08
1.375,15.8,14,34,7.2,136,0.187
0.75,16.5,5.8,14,7.1,55,0.11
0.578,28.5,0.78,4,22,21,0.072
0.578,24,0.15,1,45,7.6,0.051
0.906,26.5,0.99,6,27,32,0.098
0.953,26.5,1.2,7,25,37,0.105
1.125,26.5,1.4,8,26,46,0.12
1.156,26.5,1.6,9,26,50,0.125
1.25,26.8,1.9,10,25,57,0.135
1.281,26.8,2,11,25,61,0.139
1.375,27,2.2,13,25,68,0.148
1.453,27,2.5,14,25,74,0.156
1.5,27,2.7,15,24,80,0.162
1.593,27.3,2.9,16,25,87,0.17
1.671,27.3,3,17,25,94,0.177
1.718,27.3,3.2,18,24,95,0.182
1.765,27.3,3.4,19,24,100,0.187
1.921,27.5,3.6,21,25,113,0.2
0.219,0.88,10,0.9,0.54,6.3,0.034
1.25,15.3,7.7,19,9,89,0.156
0.875,24,1.8,8,19,41,0.105
1.5,17.5,17,43,7.6,170,0.207
0.25,1,4.2,0.9,0.38,2.4,0.032
0.281,1,4.5,0.5,0.98,4.9,0.034
0.203,0.59,5.5,0.3,0.51,3.2,0.023
0.343,0.97,27,2,0.33,11,0.047
0.375,2.59,4.7,2,1.7,10,0.047
0.156,1.22,3.8,0.6,0.93,4.2,0.023
0.343,1.63,18,3,0.57,13,0.051
0.5,3.75,2.5,2,3.5,10,0.054
0.172,0.5,14,0.5,0.24,3.8,0.023
0.172,0.47,14,0.5,0.24,3.8,0.023
0.156,0.59,0.55,0.06,1.4,0.82,0.013
0.172,0.94,2,0.3,1.1,2.5,0.02
0.25,0.88,0.82,0.1,1.9,1.7,0.02
0.281,2.25,0.97,0.4,4,4.3,0.029
0.188,1.78,0.66,0.2,3.1,2.2,0.02
0.156,1.03,4.9,0.6,0.73,4.2,0.023
0.25,1.44,12,2,0.55,8.8,0.039
0.156,0.53,0.16,0.02,2.3,0.37,0.01
0.312,0.94,3.6,0.5,1.2,4.7,0.031
0.219,2.06,0.42,0.2,4.8,2.2,0.021
0.593,3.41,7.6,4,2.2,20,0.072
0.75,2.44,6.2,2,2.1,16,0.072
0.625,2.53,17,5,1.3,27,0.08
0.593,2.63,50,14,0.72,49,0.096
0.296,0.72,24,2,0.28,8.6,0.041
0.296,2.03,6.3,2,1.1,8.6,0.041
0.25,1.41,4.3,0.9,1.4,6.6,0.032
0.156,1.06,0.34,0.08,2.8,1,0.014
0.328,0.97,7.8,1,0.64,6,0.038
0.125,0.44,2.2,0.1,0.53,1.3,0.014
0.234,1.09,0.67,0.1,2.5,1.8,0.02
0.188,1.44,0.8,0.2,2.5,2.2,0.02
1.5,19.4,4,15,16,80,0.162
0.89,17.3,58,97,2.4,238,0.185
1.5,18,4.7,16,15,85,0.165
0.25,2.44,0.47,0.3,5.6,2.9,0.024
0.328,2.22,0.52,0.3,5.9,3.3,0.028
0.234,1.03,1.6,0.2,1.5,2.7,0.023
0.188,1.53,1,0.3,2.3,2.6,0.021
0.375,3,0.41,0.3,8.8,4,0.031
0.25,1.81,6.1,1,0.88,6.8,0.036
0.25,2.92,1.1,0.6,2.9,3.8,0.03
0.312,1.34,19,3,0.51,12,0.047
0.219,1.44,10,2,0.54,7.4,0.035
0.109,0.28,8.1,0.2,0.16,1.5,0.014
0.156,4,0.2,0.2,7.3,1.7,0.017
0.25,1.03,1.7,0.3,1.6,3.1,0.025
0.188,1.19,0.18,0.05,4.5,0.84,0.014
0.109,0.41,2.4,0.1,0.37,0.99,0.014
0.25,0.8,6.8,0.7,0.7,5.4,0.03
0.172,0.63,3.6,0.3,0.6,2.5,0.02
0.234,1.03,2,0.3,1.4,3.1,0.024
0.188,1.47,2.7,0.6,1.3,4.2,0.025
0.125,0.34,1.1,0.04,0.5,0.62,0.011
0.156,0.5,0.96,0.07,0.98,1,0.014
0.109,0.38,1.1,0.06,0.59,0.71,0.011
0.125,0.56,0.47,0.04,1.2,0.62,0.011
0.437,3.19,1.2,0.8,4.4,5.9,0.042
0.109,1.47,1.4,0.3,1.2,2,0.016
0.219,0.44,1.5,0.06,0.62,0.98,0.016
0.25,0.69,6.5,0.6,0.67,4.9,0.029
0.188,0.75,0.2,0.04,3.2,0.67,0.013
0.188,0.94,0.32,0.07,2.7,0.94,0.015
0.718,2.75,7.6,3,2.1,19,0.076
0.359,2.5,1.5,0.7,2.8,5,0.037
0.453,1.38,23,3,0.58,16,0.06
0.312,1.47,18,3,0.56,13,0.048
0.5,3.84,2.5,2,3.6,10,0.054
0.375,1.59,2.6,0.6,1.6,4.7,0.037
0.219,0.94,1.2,0.2,1.4,1.9,0.02
0.375,3.16,0.24,0.2,11,2.9,0.028
0.25,4.88,1.4,1,4.9,8,0.034
0.5,3.8,0.1,0.1,24,2.7,0.03
0.453,1.19,0.78,0.2,4.3,3.6,0.032
0.453,2.25,3,1,2.3,8.1,0.047
0.281,0.81,267,11,0.08,32,0.061
0.172,0.81,0.39,0.06,2.2,0.92,0.014
0.125,0.59,0.94,0.09,0.98,1,0.013
0.188,0.56,2.9,0.2,0.69,2.2,0.02
0.375,2,19,4,0.73,18,0.058
0.359,2.2,4.5,2,1.7,9.2,0.045
0.125,1.94,11,2,0.54,7.6,0.026
0.188,1.47,4.3,0.8,1.1,5.3,0.027
0.219,0.78,12,1,0.48,7,0.031
0.156,0.56,3.3,0.2,0.54,2,0.018
0.656,1.72,17,3,0.89,18,0.072
0.14,1.06,0.12,0.03,4.2,0.55,0.011
0.468,2,4.2,1,1.8,8.9,0.05
0.266,1.53,7.3,1,1.1,9.3,0.037
0.14,0.84,4,0.4,0.66,3,0.02
0.188,0.59,8.6,0.6,0.42,4.2,0.025
0.25,1.66,3.6,0.9,1.6,6.6,0.032
0.5,3.44,2.8,2,3.2,10,0.054
0.625,12,0.17,0.6,32,6.2,0.048
0.25,12,0.65,1,11,8.4,0.035
0.5,4.5,1.3,1,5.6,8.2,0.049
0.718,5.75,27,17,1.7,62,0.112
0.875,13.3,0.28,1,34,11,0.066
1.062,12,2.6,6,12,37,0.11
1.5,7.25,6.9,9,6.6,54,0.142
0.625,7.5,3.1,4,5.7,22,0.075
0.625,6.25,5.4,5,3.9,27,0.08
0.625,2.34,2.4,1,3.1,8.3,0.054
0.75,4.19,3.1,2,4.3,16,0.072
0.437,2.19,15,4,1,19,0.062
0.5,6.63,3.4,4,4.5,19,0.065
0.75,8.5,45,41,1.8,120,0.14
0.562,2.38,242,42,0.28,109,0.12
0.812,4.88,56,28,1.2,96,0.135
0.328,2.75,1.1,0.6,3.5,4.4,0.034
0.75,1.5,100,11,0.38,50,0.105
0.437,2,5.5,2,1.4,9.6,0.05
0.562,8.44,0.43,0.9,15,7.4,0.05
0.375,1.75,9.4,2,0.88,10,0.047
1,6.63,86,57,1.4,176,0.177
0.312,1.75,4.1,1,1.3,6.3,0.038
0.812,12.8,2.1,5,11,29,0.091
0.14,1.25,0.77,0.2,1.8,1.5,0.016
0.5,7,3.1,3,3.9,15,0.06
0.5,5.5,39,16,0.9,51,0.091
1.5,8.25,26,31,3.9,133,0.192
0.312,3,1.4,0.8,2.8,4.9,0.035
0.562,8.25,1.4,2,8.4,14,0.062
0.328,2.63,1.4,0.7,2.9,4.6,0.035
0.125,0.75,0.71,0.09,1.3,1,0.013
1.375,7.75,25,27,3.7,119,0.177
0.5,5.69,7.2,6,2.6,25,0.072
0.5,3.19,8.3,3,1.6,16,0.062
0.25,1.05,8.4,0.7,0.57,5.4,0.03
0.343,1.41,19,3,0.52,13,0.05
0.468,2.33,46,11,0.59,38,0.08
0.718,14.5,0.94,3,17,19,0.075
0.75,9.5,1.8,4,9.9,22,0.08
0.156,1.25,0.54,0.1,2.3,1.4,0.016
0.5,5.75,6.8,6,2.8,25,0.072
0.328,5,1.6,1,4,7.6,0.041
0.219,4.94,0.27,0.3,9.8,2.9,0.023
0.343,1.5,4,0.8,1.1,5.2,0.037
0.156,0.97,8.9,0.9,0.48,5.1,0.025
0.312,2.5,4.2,2,1.6,8.1,0.041
0.75,2.17,12,4,1.6,22,0.08
0.812,4,8.8,5,2.7,29,0.091
0.5,9.38,4.1,6,4.6,25,0.072
0.203,1.38,3.9,0.7,1.1,4.9,0.027
1,12.2,2.6,6,11,35,0.105
0.172,2.88,0.51,0.3,4.3,2.5,0.02
0.562,3,38,12,0.85,44,0.091
0.281,0.81,2.3,0.2,1.1,2.8,0.025
0.562,2.84,93,23,0.52,71,0.105
0.328,1,5.2,0.7,0.76,4.6,0.035
0.156,0.81,0.21,0.04,2.8,0.64,0.012
0.437,1.38,18,2,0.58,13,0.055
0.281,2.34,6.5,2,1.1,9,0.041
0.5,2.78,7.3,3,1.8,16,0.062
0.343,2.5,4.3,2,1.7,9,0.044
0.437,1.41,8,1,0.89,8.4,0.047
0.375,7,0.69,1,8,6.5,0.041
0.14,5,5.3,3,1.5,10,0.03
0.172,2.84,0.52,0.3,4.2,2.5,0.02
0.375,6.75,6.8,6,2.5,23,0.062
0.593,4,50,20,0.92,66,0.105
1.625,4,145,51,0.99,196,0.225
1,2.75,48,13,0.99,60,0.125
0.625,1.88,61,11,0.52,43,0.094
0.812,8.5,0.54,1,18,11,0.065
0.75,9.25,1.9,4,9.5,22,0.08
0.5,5.63,8.5,6,2.4,27,0.074
0.172,0.5,0.49,0.03,1.1,0.58,0.012
1.25,3.38,26,10,1.8,57,0.135
0.156,1.06,0.23,0.05,3.3,0.82,0.013
0.5,3.88,1.1,0.9,5.6,7.2,0.047
0.687,4,31,14,1.3,55,0.105
0.75,3.25,31,11,1.2,50,0.105
0.188,5,0.44,0.4,7,3.5,0.023
0.437,4.44,1.5,1,4.8,8.4,0.047
0.75,1.88,65,11,0.59,50,0.105
0.406,1.5,3.3,0.8,1.5,6,0.041
0.281,2.5,2.9,1,1.6,5.5,0.035
0.312,8,1.3,2,5.6,8.7,0.042
0.234,2.25,3.3,1,1.3,5.4,0.032
0.312,0.88,38,3,0.25,12,0.047
0.312,1.31,2,0.5,2.2,4.7,0.031
0.188,0.5,54,1,0.11,7.4,0.03
0.266,5.75,0.12,0.2,18,2.4,0.023
0.484,1.75,37,6,0.53,26,0.072
0.562,2.5,12,4,1.4,22,0.072
0.188,0.63,1.7,0.1,0.89,1.6,0.018
0.375,1.13,89,7,0.21,25,0.064
0.234,1,1.4,0.2,1.5,2.4,0.022
0.312,0.72,21,2,0.31,8.1,0.041
0.109,1.25,0.37,0.09,2.2,0.92,0.012
0.219,2.5,0.12,0.08,9.1,1.2,0.017
0.234,4,0.44,0.4,6.7,3.3,0.025
0.14,4,0.53,0.3,4.3,2.6,0.019
0.188,1.94,1.3,0.4,2.4,3.5,0.023
0.156,4,0.64,0.4,4.3,3.2,0.021
0.25,1.63,1.7,0.4,2.1,3.9,0.027
0.14,7.88,0.14,0.2,12,1.9,0.017
0.281,3.94,1.5,1,4.4,7.4,0.035
1.125,12,3.3,8,11,46,0.12
0.188,3.88,0.9,0.6,4.1,4.2,0.025
0.219,5.94,0.53,0.6,7.5,4.5,0.027
0.234,1.44,1.3,0.4,2.2,3.3,0.025
0.312,1.69,3.1,0.8,1.3,4.9,0.035
0.188,6,0.36,0.4,8.5,3.5,0.023
0.375,1.47,2.1,0.5,1.7,4,0.035
0.125,8,0.11,0.2,12,1.4,0.015
0.234,6,0.61,0.7,7.5,5.3,0.029
0.188,1.5,1.9,0.4,1.6,3.5,0.023
0.375,2.94,0.98,0.6,3.9,4.3,0.036
0.312,2,0.8,0.3,4,3.5,0.028
0.312,0.97,2.8,0.3,1.2,3.5,0.028
0.25,2.44,1.1,0.5,3.4,4.4,0.028
0.25,1.94,1.4,0.5,2.8,4.4,0.028
0.328,2,21,4,0.61,17,0.054
0.188,7.88,0.43,0.6,8.6,4.2,0.025
0.188,1.19,2.2,0.4,0.91,2.4,0.023
0.328,3.88,2.4,1,2.8,8.2,0.042
0.312,1.69,1.2,0.3,2.6,3.5,0.028
0.312,2.44,0.58,0.3,5.6,3.5,0.028
0.14,5.94,0.78,0.6,4.4,4.1,0.022
0.312,2.25,0.92,0.4,4.2,4.3,0.03
0.203,8,0.5,0.7,8.6,4.9,0.027
0.312,1.69,1.1,0.3,3.1,3.9,0.029
0.25,7.19,13,9,1.2,25,0.054
0.375,1.19,2.5,0.5,1.4,4,0.035
0.375,1.69,1.7,0.5,2,3.9,0.034
0.312,2.44,1.9,0.8,2.2,4.9,0.035
0.375,2.16,1.4,0.6,2.7,4.3,0.036
0.375,1.94,8.2,2,1.1,11,0.048
0.375,1.66,7.8,2,1.1,10,0.047
0.375,1.38,12,2,0.71,10,0.047
0.125,4,0.3,0.2,5.1,1.8,0.016
0.437,3.5,2.6,2,3,9.6,0.05
0.375,2,1.5,0.5,2.3,4,0.035
0.25,4,0.65,0.5,6,4.4,0.028
0.203,4,1,0.7,4.2,4.9,0.027
0.359,1.38,28,4,0.43,16,0.055
0.515,1,114,9,0.22,33,0.08
0.39,1.06,0.65,0.1,2.7,1.9,0.024
0.5,1.88,1.4,0.5,3,4.8,0.041
0.5,1,138,9,0.19,35,0.08
0.25,0.78,8.9,0.7,0.54,5.4,0.03
0.375,0.81,22,2,0.39,11,0.048
0.25,0.94,0.73,0.1,2.2,1.7,0.02
0.375,1.88,16,3,0.68,14,0.054
0.296,0.81,202,9,0.09,28,0.06
0.375,1.75,42,7,0.44,25,0.064
0.375,3,22,7,0.89,26,0.065
0.203,2,2.3,0.7,1.9,4.9,0.027
0.437,1.75,0.25,0.1,8.5,2.2,0.027
0.234,1.13,12,1,0.43,6.8,0.035
0.312,1.19,5.6,0.8,0.73,4.9,0.035
0.312,0.94,12,1,0.39,5.8,0.037
0.125,6,0.14,0.2,8.9,1.4,0.015
0.25,0.88,3.1,0.4,1,3.5,0.026
0.25,1.19,3,0.6,1.4,4.9,0.029
0.14,0.59,3.1,0.2,0.53,1.9,0.017
0.25,0.98,5.6,0.7,0.85,5.4,0.03
